No,TIME,Pos_PSI@Body1,Vel_RZ@Body1,Acc_RZ@Body1,TZ_RSDA@RotationalSpring1,Pos1_Relative@RevJoint1
1,0,0,1,0,-99.661582,0
2,0.01,0.5729578,1,0,-99.663737,0.5729578
3,0.02,1.1459156,1,0,-99.665891,1.1459156
4,0.03,1.7188734,1,0,-99.668045,1.7188734
5,0.04,2.2918312,1,0,-99.6702,2.2918312
6,0.05,2.864789,1,0,-99.672354,2.864789
7,0.06,3.4377468,1,0,-99.674509,3.4377468
8,0.07,4.0107046,1,0,-99.676663,4.0107046
9,0.08,4.5836624,1,0,-99.678818,4.5836624
10,0.09,5.1566202,1,0,-99.680972,5.1566202
11,0.1,5.729578,1,0,-99.683127,5.729578
12,0.11,6.3025357,1,0,-99.685281,6.3025357
13,0.12,6.8754935,1,0,-99.687435,6.8754935
14,0.13,7.4484513,1,0,-99.68959,7.4484513
15,0.14,8.0214091,1,0,-99.691744,8.0214091
16,0.15,8.5943669,1,3.8176876e-18,-99.693899,8.5943669
17,0.16,9.1673247,1,7.635409e-18,-99.696053,9.1673247
18,0.17,9.7402825,1,7.635409e-18,-99.698208,9.7402825
19,0.18,10.31324,1,7.635409e-18,-99.700362,10.31324
20,0.19,10.886198,1,7.635409e-18,-99.702516,10.886198
21,0.2,11.459156,1,7.635409e-18,-99.704671,11.459156
22,0.21,12.032114,1,7.635409e-18,-99.706825,12.032114
23,0.22,12.605071,1,7.635409e-18,-99.70898,12.605071
24,0.23,13.178029,1,7.635409e-18,-99.711134,13.178029
25,0.24,13.750987,1,7.635409e-18,-99.713289,13.750987
26,0.25,14.323945,1,7.635409e-18,-99.715443,14.323945
27,0.26,14.896903,1,7.635409e-18,-99.717597,14.896903
28,0.27,15.46986,1,7.635409e-18,-99.719752,15.46986
29,0.28,16.042818,1,7.635409e-18,-99.721906,16.042818
30,0.29,16.615776,1,7.635409e-18,-99.724061,16.615776
31,0.3,17.188734,1,7.635409e-18,-99.726215,17.188734
32,0.31,17.761692,1,7.635409e-18,-99.72837,17.761692
33,0.32,18.334649,1,7.635409e-18,-99.730524,18.334649
34,0.33,18.907607,1,7.635409e-18,-99.732679,18.907607
35,0.34,19.480565,1,7.635409e-18,-99.734833,19.480565
36,0.35,20.053523,1,7.635409e-18,-99.736987,20.053523
37,0.36,20.626481,1,7.635409e-18,-99.739142,20.626481
38,0.37,21.199438,1,7.635409e-18,-99.741296,21.199438
39,0.38,21.772396,1,7.635409e-18,-99.743451,21.772396
40,0.39,22.345354,1,7.635409e-18,-99.745605,22.345354
41,0.4,22.918312,1,7.635409e-18,-99.74776,22.918312
42,0.41,23.49127,1,7.635409e-18,-99.749914,23.49127
43,0.42,24.064227,1,7.635409e-18,-99.752068,24.064227
44,0.43,24.637185,1,7.635409e-18,-99.754223,24.637185
45,0.44,25.210143,1,7.635409e-18,-99.756377,25.210143
46,0.45,25.783101,1,7.635409e-18,-99.758532,25.783101
47,0.46,26.356059,1,7.635409e-18,-99.760686,26.356059
48,0.47,26.929016,1,7.635409e-18,-99.762841,26.929016
49,0.48,27.501974,1,7.635409e-18,-99.764995,27.501974
50,0.49,28.074932,1,7.635409e-18,-99.767149,28.074932
51,0.5,28.64789,1,7.635409e-18,-99.769304,28.64789
52,0.51,29.220848,1,7.635409e-18,-99.771458,29.220848
53,0.52,29.793805,1,7.635409e-18,-99.773613,29.793805
54,0.53,30.366763,1,5.7259108e-18,-99.775767,30.366763
55,0.54,30.939721,1,5.7259108e-18,-99.777922,30.939721
56,0.55,31.512679,1,5.7259108e-18,-99.780076,31.512679
57,0.56,32.085637,1,5.7259108e-18,-99.782231,32.085637
58,0.57,32.658594,1,3.8163443e-18,-99.784385,32.658594
59,0.58,33.231552,1,3.8163443e-18,-99.786539,33.231552
60,0.59,33.80451,1,3.8163443e-18,-99.788694,33.80451
61,0.6,34.377468,1,7.6355793e-18,-99.790848,34.377468
62,0.61,34.950426,1,3.8163105e-18,-99.793003,34.950426
63,0.62,35.523383,1,3.8163105e-18,-99.795157,35.523383
64,0.63,36.096341,1,3.8163105e-18,-99.797312,36.096341
65,0.64,36.669299,1,3.8163105e-18,-99.799466,36.669299
66,0.65,37.242257,1,3.8163105e-18,-99.80162,37.242257
67,0.66,37.815214,1,3.8163105e-18,-99.803775,37.815214
68,0.67,38.388172,1,3.8163105e-18,-99.805929,38.388172
69,0.68,38.96113,1,3.8163105e-18,-99.808084,38.96113
70,0.69,39.534088,1,3.8163105e-18,-99.810238,39.534088
71,0.7,40.107046,1,3.8163105e-18,-99.812393,40.107046
72,0.71,40.680003,1,3.8163105e-18,-99.814547,40.680003
73,0.72,41.252961,1,3.8163105e-18,-99.816701,41.252961
74,0.73,41.825919,1,3.8163105e-18,-99.818856,41.825919
75,0.74,42.398877,1,3.8163105e-18,-99.82101,42.398877
76,0.75,42.971835,1,3.8163105e-18,-99.823165,42.971835
77,0.76,43.544792,1,3.8163105e-18,-99.825319,43.544792
78,0.77,44.11775,1,3.8163105e-18,-99.827474,44.11775
79,0.78,44.690708,1,3.8163105e-18,-99.829628,44.690708
80,0.79,45.263666,1,3.8163105e-18,-99.831783,45.263666
81,0.8,45.836624,1,3.8163105e-18,-99.833937,45.836624
82,0.81,46.409581,1,3.8163105e-18,-99.836091,46.409581
83,0.82,46.982539,1,1.1456222e-17,-99.838246,46.982539
84,0.83,47.555497,1,1.1456222e-17,-99.8404,47.555497
85,0.84,48.128455,1,1.1456222e-17,-99.842555,48.128455
86,0.85,48.701413,1,1.1456222e-17,-99.844709,48.701413
87,0.86,49.27437,1,1.9096383e-17,-99.846864,49.27437
88,0.87,49.847328,1,2.6736604e-17,-99.849018,49.847328
89,0.88,50.420286,1,2.6736604e-17,-99.851172,50.420286
90,0.89,50.993244,1,2.6736604e-17,-99.853327,50.993244
91,0.9,51.566202,1,2.6736604e-17,-99.855481,51.566202
92,0.91,52.139159,1,2.6736604e-17,-99.857636,52.139159
93,0.92,52.712117,1,2.6736604e-17,-99.85979,52.712117
94,0.93,53.285075,1,3.4377188e-17,-99.861945,53.285075
