No,TIME,Pos_PSI@Body1,Vel_RZ@Body1,Acc_RZ@Body1,TZ_RSDA@RotationalSpring1,Pos1_Relative@RevJoint1
1,0,0,1,0,-99.984292,0
2,0.01,0.5729578,1,2.9570443e-19,-99.984392,0.5729578
3,0.02,1.1459156,1,8.8698815e-19,-99.984492,1.1459156
4,0.03,1.7188734,1,-5.8996655e-19,-99.984592,1.7188734
5,0.04,2.2918312,1,-3.5414911e-18,-99.984692,2.2918312
6,0.05,2.864789,1,-3.5414911e-18,-99.984792,2.864789
7,0.06,3.4377468,1,-3.5414911e-18,-99.984892,3.4377468
8,0.07,4.0107046,1,-3.5414911e-18,-99.984992,4.0107046
9,0.08,4.5836624,1,-3.5414911e-18,-99.985092,4.5836624
10,0.09,5.1566202,1,-3.5414911e-18,-99.985192,5.1566202
11,0.1,5.729578,1,-3.5414911e-18,-99.985292,5.729578
12,0.11,6.3025357,1,-3.5414911e-18,-99.985392,6.3025357
13,0.12,6.8754935,1,-3.5414911e-18,-99.985492,6.8754935
14,0.13,7.4484513,1,-3.5414911e-18,-99.985592,7.4484513
15,0.14,8.0214091,1,-3.5414911e-18,-99.985692,8.0214091
16,0.15,8.5943669,1,-3.5414911e-18,-99.985792,8.5943669
17,0.16,9.1673247,1,-3.5414911e-18,-99.985892,9.1673247
18,0.17,9.7402825,1,-3.5414911e-18,-99.985992,9.7402825
19,0.18,10.31324,1,-3.5414911e-18,-99.986092,10.31324
20,0.19,10.886198,1,-3.5414911e-18,-99.986192,10.886198
21,0.2,11.459156,1,-3.5414911e-18,-99.986292,11.459156
22,0.21,12.032114,1,-3.5414911e-18,-99.986392,12.032114
23,0.22,12.605071,1,-3.5414911e-18,-99.986492,12.605071
24,0.23,13.178029,1,-3.5414911e-18,-99.986592,13.178029
25,0.24,13.750987,1,-3.5414911e-18,-99.986692,13.750987
26,0.25,14.323945,1,-3.5414911e-18,-99.986792,14.323945
27,0.26,14.896903,1,-3.5414911e-18,-99.986892,14.896903
28,0.27,15.46986,1,-3.5414911e-18,-99.986992,15.46986
29,0.28,16.042818,1,-3.5414911e-18,-99.987092,16.042818
30,0.29,16.615776,1,-3.5414911e-18,-99.987192,16.615776
31,0.3,17.188734,1,-3.5414911e-18,-99.987292,17.188734
32,0.31,17.761692,1,-3.5414911e-18,-99.987392,17.761692
33,0.32,18.334649,1,-3.5414911e-18,-99.987492,18.334649
34,0.33,18.907607,1,-3.5414911e-18,-99.987592,18.907607
35,0.34,19.480565,1,-3.5414911e-18,-99.987692,19.480565
36,0.35,20.053523,1,-3.5414911e-18,-99.987792,20.053523
37,0.36,20.626481,1,-3.5414911e-18,-99.987892,20.626481
38,0.37,21.199438,1,-3.5414911e-18,-99.987992,21.199438
39,0.38,21.772396,1,-3.5414911e-18,-99.988092,21.772396
40,0.39,22.345354,1,-3.5414911e-18,-99.988192,22.345354
41,0.4,22.918312,1,-3.5414911e-18,-99.988292,22.918312
42,0.41,23.49127,1,-3.5414911e-18,-99.988392,23.49127
43,0.42,24.064227,1,-4.0188182e-18,-99.988492,24.064227
44,0.43,24.637185,1,-4.0188182e-18,-99.988592,24.637185
45,0.44,25.210143,1,-4.0188182e-18,-99.988692,25.210143
46,0.45,25.783101,1,-4.0188182e-18,-99.988792,25.783101
47,0.46,26.356059,1,-4.0188182e-18,-99.988892,26.356059
48,0.47,26.929016,1,-4.0188182e-18,-99.988992,26.929016
49,0.48,27.501974,1,-4.0188182e-18,-99.989092,27.501974
50,0.49,28.074932,1,-4.0188182e-18,-99.989192,28.074932
51,0.5,28.64789,1,-4.0188182e-18,-99.989292,28.64789
52,0.51,29.220848,1,-4.0188182e-18,-99.989392,29.220848
53,0.52,29.793805,1,-4.0188182e-18,-99.989492,29.793805
54,0.53,30.366763,1,-4.0188182e-18,-99.989592,30.366763
55,0.54,30.939721,1,-4.0188182e-18,-99.989692,30.939721
56,0.55,31.512679,1,-4.0188182e-18,-99.989792,31.512679
57,0.56,32.085637,1,-4.0188182e-18,-99.989892,32.085637
58,0.57,32.658594,1,-4.0188182e-18,-99.989992,32.658594
59,0.58,33.231552,1,-4.0188182e-18,-99.990092,33.231552
60,0.59,33.80451,1,-4.0188182e-18,-99.990192,33.80451
61,0.6,34.377468,1,-4.0188182e-18,-99.990292,34.377468
62,0.61,34.950426,1,-4.0188182e-18,-99.990392,34.950426
63,0.62,35.523383,1,-4.0188182e-18,-99.990492,35.523383
64,0.63,36.096341,1,-4.0188182e-18,-99.990592,36.096341
65,0.64,36.669299,1,-4.0188182e-18,-99.990692,36.669299
66,0.65,37.242257,1,-4.0188182e-18,-99.990792,37.242257
67,0.66,37.815214,1,-4.0188182e-18,-99.990892,37.815214
68,0.67,38.388172,1,-4.0188182e-18,-99.990992,38.388172
69,0.68,38.96113,1,-4.0188182e-18,-99.991092,38.96113
70,0.69,39.534088,1,-4.0188182e-18,-99.991192,39.534088
71,0.7,40.107046,1,-4.0188182e-18,-99.991292,40.107046
72,0.71,40.680003,1,-1.9921592e-19,-99.991392,40.680003
73,0.72,41.252961,1,3.6204191e-18,-99.991492,41.252961
74,0.73,41.825919,1,3.6204191e-18,-99.991592,41.825919
75,0.74,42.398877,1,-1.9928113e-19,-99.991692,42.398877
76,0.75,42.971835,1,-1.9928113e-19,-99.991792,42.971835
77,0.76,43.544792,1,-1.9928113e-19,-99.991892,43.544792
78,0.77,44.11775,1,-1.9928113e-19,-99.991992,44.11775
79,0.78,44.690708,1,-1.9928113e-19,-99.992092,44.690708
80,0.79,45.263666,1,-1.9928113e-19,-99.992192,45.263666
81,0.8,45.836624,1,-1.9928113e-19,-99.992292,45.836624
82,0.81,46.409581,1,-1.9928113e-19,-99.992392,46.409581
83,0.82,46.982539,1,-1.9928113e-19,-99.992492,46.982539
84,0.83,47.555497,1,-1.9928113e-19,-99.992592,47.555497
85,0.84,48.128455,1,7.4407558e-18,-99.992692,48.128455
86,0.85,48.701413,1,7.4407558e-18,-99.992792,48.701413
87,0.86,49.27437,1,7.4407558e-18,-99.992892,49.27437
88,0.87,49.847328,1,1.5080978e-17,-99.992992,49.847328
89,0.88,50.420286,1,1.5080978e-17,-99.993092,50.420286
90,0.89,50.993244,1,1.5080978e-17,-99.993192,50.993244
91,0.9,51.566202,1,1.5080978e-17,-99.993292,51.566202
92,0.91,52.139159,1,1.5080978e-17,-99.993392,52.139159
93,0.92,52.712117,1,1.5080978e-17,-99.993492,52.712117
94,0.93,53.285075,1,2.2721562e-17,-99.993592,53.285075
95,0.94,53.858033,1,2.2721562e-17,-99.993692,53.858033
96,0.95,54.430991,1,2.2721562e-17,-99.993792,54.430991
97,0.96,55.003948,1,2.2721562e-17,-99.993892,55.003948
98,0.97,55.576906,1,2.2721562e-17,-99.993992,55.576906
99,0.98,56.149864,1,2.2721562e-17,-99.994092,56.149864
100,0.99,56.722822,1,1.5080629e-17,-99.994192,56.722822
101,1,57.29578,1,1.5080629e-17,-99.994292,57.29578
